scenario,FA1,FA2,FA3,FA4
Adv_CCS,-1.0932350604454766,2.7534392700656225,2.071025223805215,-2.2603303076558086
Adv_CCS_CO2e_100by2035,0.8072573132921235,0.4989730094270628,-0.8646004938494383,0.2113739708774559
Adv_CCS_No_TC_Expiration,-0.6190135816243015,-0.6943554183548818,-0.07270382276703613,-0.8507302058524862
Adv_NG,-0.7800955216977041,-0.5207943529007102,-0.48101394516788004,0.4438172504836047
Adv_NG_CO2e_100by2035,0.9349786634996937,0.5474879700373905,-0.9095250245189545,0.5343958338366374
Adv_NG_No_TC_Expiration,-0.7923807609775289,-0.5558186370472101,-0.4005777606274168,0.3238697365294646
Adv_Nuclear,-0.5858554648714959,-0.5764242937618042,-0.5877646852786556,0.3373343329197503
Adv_Nuclear_CO2e_100by2035,-0.05133123479082754,2.6315101304223667,-0.02548680417180706,-1.1937152879677753
Adv_Nuclear_No_TC_Expiration,-0.6037674117950937,-0.6067905238417166,-0.532013686709946,-0.07947934390928356
Adv_RE,-0.5495008039562934,1.8551102605896923,1.5591541180347643,-1.8555525597723959
Adv_RE_CO2e_100by2035,1.0832440321120331,0.18888538466911786,-1.259526993866743,-1.6354079292014905
Adv_RE_No_TC_Expiration,-0.21924884482044746,-0.7059224899013423,0.4024769085318575,-1.3361348215369768
Con_CCS,-0.501900385265395,-0.5421040069094858,-0.244857767574185,0.293340099274863
Con_CCS_CO2e_100by2035,1.0928976226795826,0.4607389933909618,-1.1363811391526926,0.22589994477593983
Con_CCS_No_TC_Expiration,-0.519768311772166,-0.5598505743972547,-0.1654651362745882,0.14581681022661858
Con_NG,-0.23923612040449294,0.500886154935014,-0.8306061450181229,-0.065496908078404
Con_NG_CO2e_100by2035,1.1150278793140591,0.4719641941455964,-1.1789388650539645,0.12122726015697556
Con_NG_No_TC_Expiration,0.10122669223649713,-0.8671138599038644,-0.09967275724164991,-0.5174101880286285
Con_Nuclear,-0.549440641540291,-0.5362796335644023,-0.12309620688474983,0.38961115606240904
Con_Nuclear_CO2e_100by2035,1.0634660076429996,0.311661481936913,-0.5756892891999735,0.36829881630951433
Con_Nuclear_No_TC_Expiration,-0.5666221762694963,-0.5765354558114851,-0.07999851103850039,0.044990701920476515
Con_RE,-0.9055734648562689,-0.7370469643598387,-0.7726611946274446,-0.906159839770294
Con_RE_CO2e_100by2035,0.9725589185696418,0.08103816922142344,-2.1745226962091073,-1.0090642336639524
Con_RE_No_TC_Expiration,-0.9083113135014449,-0.7470969828671273,-0.7520940569541243,-0.9878238098079141
DAC,-0.5541022087345251,-0.5528760119252492,-0.2174405339944679,0.2916374743832945
DAC_CO2e_100by2035,1.1802890647604058,0.4571902039670142,-1.1431110027741982,0.6377570951232521
DAC_No_TC_Expiration,-0.5623329658222268,-0.5843432093702379,-0.03243067323387631,0.7670564870287575
DC_Tran_CO2e_100by2035,0.9028698692303435,0.1874926181755693,-1.1747985398066518,-0.504741608877072
DC_Trans,-0.5034525878052566,-0.6597614824864109,-0.3628181922835972,-0.06054890819296269
DC_Trans_No_TC_Expiration,-0.568190591146347,-0.6678125265937433,-0.35277161455830713,0.19123655076482488
High_Demand_Growth,0.27266724252727337,-0.8758651429090003,1.043803127843056,0.3111178947043151
High_Demand_Growth_CO2e_100by2035,2.2563525948483307,0.4968069819784769,0.1807280617164206,-0.5095091799809262
High_Demand_Growth_No_TC_Expiration,0.27404831498154636,-0.9716628002137164,1.0420904371579565,0.24695566313108924
High_H2,0.37449908039863156,-1.2632540595218147,1.1665065631073557,0.24749874641770506
High_H2_CO2e_100by2035,1.9399209048177375,-0.31364146270135296,0.2690574637171201,-0.4497506867062763
High_H2_No_TC_Expiration,0.3640274571198381,-1.1707112579578152,1.3938957358210353,0.35293819818212346
High_H2_and_Demand,1.1335448320186607,-1.2045308516631617,2.7522312925812153,0.24296758285915865
High_H2_and_Demand_CO2e_100by2035,3.1678633271530825,0.03700151386673507,1.50117727749629,-0.64596781870355
High_H2_and_Demand_No_TC_Expiration,1.1485743842197107,-1.1778689429770723,2.953618778557599,-0.16391568267760442
Limited_Trans,-0.6234299020713416,-0.5031385397828011,-0.1538763115783207,0.635069311610265
Limited_Trans_CO2e_100by2035,1.2487370448837714,1.0245954335467893,-0.5432322644051778,0.2281579112226258
Limited_Trans_No_TC_Expiration,-0.6207566221441404,-0.5317102751535735,-0.11547386552177288,0.3710096210794644
Low_Demand_Growth,-1.7450110585342036,3.168701801562784,1.759139941361676,-0.480028129453533
Low_Demand_Growth_CO2e_100by2035,-0.20124853442484655,2.0167856853433537,0.03617916789303765,3.2142226355590284
Low_Demand_Growth_No_TC_Expiration,-1.3511664560852545,-0.1530667662114434,-0.6736260804750793,1.200771217836684
Mid_Case,-0.5503468573602347,-0.5692178643912851,-0.21223423643426698,0.18777299589356186
Mid_Case_100by2035,0.189927332792858,0.6106064671758041,-0.787318077620319,-0.365503589242373
Mid_Case_95by2035,0.027592814428091895,0.5880346246166716,-0.7899962676743305,-1.4144042221787834
Mid_Case_95by2050,-0.2997703975320539,-0.9808772096926663,1.2343871516909948,-0.6134015879696213
Mid_Case_CO2e_100by2035,0.981971893933676,0.5348470889628683,-0.9643548559781147,0.2782920683229926
Mid_Case_CO2e_95by2035,0.5437929517678362,0.5984956432381692,-0.9142675297721506,-0.09562144475712127
Mid_Case_CO2e_95by2050,-0.27277653976112487,-1.026774884975597,1.4420085454900882,-0.6642627261408355
Mid_Case_NoNascent,-0.48030636849903846,-0.45067716456400536,-0.1443855473559596,0.5309890298004525
Mid_Case_No_111D,-0.8089532561081016,-0.627952932294942,-0.0996559203755918,0.3772650163293476
Mid_Case_No_IRA,-1.6598178316238135,-0.04519242512181567,-0.6885756508282466,-0.7333825696682561
Mid_Case_No_IRA_111D,-2.197609547653227,0.11366762924136797,-0.29689011902143575,-1.8263318642759427
Mid_Case_No_TC_Expiration,-0.5672474158185656,-0.6116150802789486,-0.16430791144190368,-0.02782223056452372
No_TC_Expiration_CO2e_100by2035,1.272381225346972,-0.4516781008629604,-0.0026316984955620263,0.3793162521771996
Reduced_RE_Resource,-0.9834426176749578,0.5722023203325249,0.6813929933970224,2.3326891227252338
Reduced_RE_Resource_CO2e_100by2035,0.5820557246058108,2.3201324742211633,0.9281414553212055,2.3740499141061466
Reduced_RE_Resource_No_TC_Expiration,-0.9965303317932229,0.592106680200284,0.6843796322924024,2.4137509820035596
