material_1,material_2,correlation
Gadium,Indium,1.0000000000000007
Gadium,Gallium,1.0000000000000002
Cadmium,Gadium,1.0000000000000002
Gadium,Tellurium,1.0000000000000002
Cadmium,Indium,1.0
Indium,Tellurium,1.0
Gallium,Indium,1.0
Cadmium,Selenium,0.9999999999999999
Selenium,Tellurium,0.9999999999999998
Indium,Selenium,0.9999999999999998
Gallium,Selenium,0.9999999999999998
Gadium,Selenium,0.9999999999999998
Gallium,Tellurium,0.9999999999999997
Cadmium,Gallium,0.9999999999999997
Cadmium,Tellurium,0.9999999999999997
Niobium,Terbium,0.999999990843752
Silicon,Tin,0.9999999903814588
Fiberglass,Niobium,0.9999999427919457
Magnesium,Silicon,0.9999999375696541
Fiberglass,Terbium,0.9999998878618569
Magnesium,Tin,0.9999998789413663
Yttrium,Zinc,0.9999985612227926
Lead,Neodymium,0.9999979301131324
Fiberglass,Neodymium,0.9999845383246718
Neodymium,Niobium,0.9999826001331902
Neodymium,Terbium,0.9999817926886457
Fiberglass,Lead,0.9999811070557576
Lead,Niobium,0.9999790860578479
Lead,Terbium,0.9999782454854899
Magnesium,Silver,0.9999620848934949
Silicon,Silver,0.999961209191309
Silver,Tin,0.9999608313425931
Chromium,Lead,0.9999543193807214
Chromium,Neodymium,0.9999385282538217
Chromium,Fiberglass,0.9998807726347081
Chromium,Niobium,0.9998762618999324
Chromium,Terbium,0.9998744252751146
Chromium,Zinc,0.9998584420408125
Chromium,Yttrium,0.9998460143194171
Lead,Zinc,0.9997368969054617
Lead,Yttrium,0.9997347054336009
Neodymium,Yttrium,0.9997310975954595
Neodymium,Zinc,0.999729928124159
Glass,Silver,0.9997214793926583
Glass,Tin,0.999711933127648
Glass,Silicon,0.9997094938341397
Glass,Magnesium,0.9997031924080214
Dysprosium,Terbium,0.999598756624357
Dysprosium,Niobium,0.9995949143806478
Fiberglass,Yttrium,0.9995866890711396
Fiberglass,Zinc,0.9995855842742686
Dysprosium,Fiberglass,0.9995852302615476
Niobium,Yttrium,0.9995769077256849
Niobium,Zinc,0.9995758068639187
Terbium,Yttrium,0.9995729625253453
Terbium,Zinc,0.9995718632379107
Dysprosium,Praseodymium,0.9994613383789483
Dysprosium,Neodymium,0.9994096293718095
Dysprosium,Lead,0.9993991494307138
Boron,Praseodymium,0.9993272144755854
Manganese,Nickel,0.9992711963243873
Chromium,Dysprosium,0.9990868817623677
Aluminum,Silver,0.9990571782812386
Aluminum,Magnesium,0.9988869317319585
Aluminum,Silicon,0.9988846009723845
Aluminum,Tin,0.9988836520279233
Aluminum,Glass,0.9987368722049259
Dysprosium,Yttrium,0.9983441828083484
Dysprosium,Zinc,0.9983434134962426
Praseodymium,Terbium,0.9981307244641119
Niobium,Praseodymium,0.9981224450035613
Fiberglass,Praseodymium,0.998101669753432
Dysprosium,Nickel,0.9978041333336007
Neodymium,Praseodymium,0.9977437565981865
Lead,Praseodymium,0.9977252547998833
Chromium,Molybdenum,0.9976391282086888
Boron,Dysprosium,0.9975852803343122
Nickel,Praseodymium,0.9974022065809702
Nickel,Terbium,0.9972867761431116
Nickel,Niobium,0.9972823836216437
Fiberglass,Nickel,0.9972713242157434
Lead,Molybdenum,0.9972152072542244
Chromium,Praseodymium,0.9971717901507694
Neodymium,Nickel,0.9970731517618654
Molybdenum,Neodymium,0.9970649410541027
Fiberglass,Molybdenum,0.9970362956271982
Molybdenum,Niobium,0.9970335584388246
Molybdenum,Terbium,0.9970324314383494
Lead,Nickel,0.9970119675091371
Molybdenum,Zinc,0.9969806068061444
Molybdenum,Yttrium,0.9968519940744128
Copper,Molybdenum,0.9967669085379172
Chromium,Nickel,0.996523788151293
Dysprosium,Molybdenum,0.996394569145794
Dysprosium,Manganese,0.9959314587088224
Praseodymium,Yttrium,0.9959186136357713
Praseodymium,Zinc,0.9959182274100806
Nickel,Yttrium,0.9959143595163694
Nickel,Zinc,0.9958724438865343
Boron,Nickel,0.9956815810661489
Manganese,Praseodymium,0.9956316373078057
Copper,Steel,0.9954119740597874
Manganese,Terbium,0.9953275964840647
Manganese,Niobium,0.9953227944605186
Fiberglass,Manganese,0.9953107116218609
Boron,Terbium,0.9952177475283479
Boron,Niobium,0.9952045198244951
Boron,Fiberglass,0.9951713761994724
Manganese,Neodymium,0.995095746238927
Lead,Manganese,0.9950014492679062
Molybdenum,Praseodymium,0.9946556023102031
Boron,Neodymium,0.9946101768028154
Boron,Lead,0.9945827337887694
Chromium,Manganese,0.9944081156484386
Boron,Manganese,0.9940273763662038
Manganese,Yttrium,0.993867585817668
Manganese,Zinc,0.9938014314241479
Boron,Chromium,0.9937604257528713
Boron,Steel,0.9922852059671614
Molybdenum,Nickel,0.9921968617321544
Glass,Indium,0.9919993043875615
Gallium,Glass,0.9919993043875613
Glass,Selenium,0.9919993043875612
Gadium,Glass,0.9919993043875611
Cadmium,Glass,0.991999304387561
Glass,Tellurium,0.9919993043875607
Boron,Zinc,0.9919384065409529
Boron,Yttrium,0.9919383641572832
Copper,Dysprosium,0.9918853499150398
Copper,Praseodymium,0.9918404174690985
Boron,Molybdenum,0.9914442731480599
Praseodymium,Steel,0.9913603294315115
Chromium,Copper,0.9913033206768355
Copper,Terbium,0.9910649977564603
Copper,Niobium,0.9910591696678288
Copper,Fiberglass,0.9910445224225983
Copper,Lead,0.9910088277978512
Copper,Neodymium,0.9907874685391431
Boron,Copper,0.9905258397891641
Gadium,Tin,0.9897872236803685
Gallium,Tin,0.9897872236803684
Cadmium,Tin,0.9897872236803683
Tellurium,Tin,0.9897872236803683
Indium,Tin,0.9897872236803681
Selenium,Tin,0.989787223680368
Indium,Silicon,0.9897674424228586
Gadium,Silicon,0.9897674424228585
Cadmium,Silicon,0.9897674424228585
Silicon,Tellurium,0.9897674424228585
Gallium,Silicon,0.9897674424228584
Selenium,Silicon,0.9897674424228583
Cadmium,Magnesium,0.9897169602506516
Magnesium,Tellurium,0.9897169602506515
Indium,Magnesium,0.9897169602506513
Gadium,Magnesium,0.9897169602506511
Gallium,Magnesium,0.9897169602506511
Magnesium,Selenium,0.9897169602506508
Copper,Zinc,0.9895842351349462
Dysprosium,Steel,0.989401907627313
Copper,Yttrium,0.9893852331371045
Indium,Silver,0.989350219321127
Selenium,Silver,0.989350219321127
Gadium,Silver,0.9893502193211269
Cadmium,Silver,0.9893502193211269
Gallium,Silver,0.9893502193211267
Silver,Tellurium,0.9893502193211265
Manganese,Molybdenum,0.9891229414308204
Molybdenum,Steel,0.9890755376374792
Copper,Nickel,0.9890306920768682
Nickel,Steel,0.9877504008598669
Aluminum,Indium,0.9876970834736402
Aluminum,Selenium,0.98769708347364
Aluminum,Tellurium,0.9876970834736399
Aluminum,Cadmium,0.9876970834736399
Aluminum,Gadium,0.9876970834736398
Aluminum,Gallium,0.9876970834736397
Manganese,Steel,0.9875605612237617
Steel,Terbium,0.9868546125624994
Niobium,Steel,0.9868405421570924
Fiberglass,Steel,0.9868052927886433
Copper,Manganese,0.9867317683325797
Lead,Steel,0.9863378165027896
Neodymium,Steel,0.9862096124947842
Chromium,Steel,0.9859482829121127
Steel,Zinc,0.983530423980685
Steel,Yttrium,0.9833968132556388
Cement,Manganese,0.9738365899813312
Cement,Nickel,0.9709271085965412
Cement,Steel,0.9703932655841376
Boron,Cement,0.9668098039890825
Cement,Praseodymium,0.9658480212251337
Cement,Dysprosium,0.9638856765180635
Cement,Terbium,0.96135709678587
Cement,Niobium,0.961343164902913
Cement,Fiberglass,0.9613082638268208
Cement,Neodymium,0.960718727615761
Cement,Lead,0.9605351079849792
Cement,Chromium,0.9593417277533974
Cement,Yttrium,0.9579400476365948
Cement,Zinc,0.9578368927108871
Cement,Copper,0.9565876787431566
Cement,Molybdenum,0.9529805376059346
Aluminum,Copper,0.9286585066445496
Copper,Silver,0.9153750937960948
Copper,Magnesium,0.9135425785154666
Copper,Silicon,0.9134709863285803
Copper,Tin,0.9134428541194926
Aluminum,Molybdenum,0.9128108807718291
Copper,Glass,0.9108711507916264
Aluminum,Steel,0.9087282962745699
Molybdenum,Silver,0.8986589419584582
Magnesium,Molybdenum,0.8970995466184969
Molybdenum,Silicon,0.8970238758319427
Molybdenum,Tin,0.8969941432707653
Glass,Molybdenum,0.8935466932306687
Silver,Steel,0.8931719279306118
Magnesium,Steel,0.8910086599819584
Silicon,Steel,0.8909249730723873
Steel,Tin,0.8908920942673171
Glass,Steel,0.8884920316442546
Aluminum,Chromium,0.8831635102062043
Aluminum,Lead,0.8805904189937904
Aluminum,Dysprosium,0.8800193463383547
Aluminum,Terbium,0.8797822288876059
Aluminum,Niobium,0.8797794015283632
Aluminum,Fiberglass,0.8797722638069198
Aluminum,Neodymium,0.8796404905208156
Aluminum,Zinc,0.8795909080470792
Aluminum,Praseodymium,0.879410932326879
Aluminum,Yttrium,0.878797735821251
Aluminum,Boron,0.8776099587886289
Copper,Indium,0.8751909506018656
Copper,Gadium,0.8751909506018651
Copper,Tellurium,0.8751909506018651
Copper,Gallium,0.875190950601865
Copper,Selenium,0.8751909506018649
Cadmium,Copper,0.8751909506018648
Chromium,Silver,0.8672456944527392
Aluminum,Nickel,0.8665347541967723
Chromium,Magnesium,0.8654935379460398
Chromium,Silicon,0.8654032444163029
Chromium,Tin,0.8653677732817365
Lead,Silver,0.8644891215922167
Dysprosium,Silver,0.863696831039049
Silver,Zinc,0.8635910383731087
Silver,Terbium,0.8635905540459398
Niobium,Silver,0.8635883829602607
Fiberglass,Silver,0.8635828869543358
Neodymium,Silver,0.8634783687761375
Praseodymium,Silver,0.8629532037389023
Silver,Yttrium,0.862754657416758
Lead,Magnesium,0.8626867660053836
Lead,Silicon,0.8625944823554657
Lead,Tin,0.8625582301638562
Magnesium,Zinc,0.8618872684079255
Silicon,Zinc,0.8617968369155921
Tin,Zinc,0.861761311751641
Magnesium,Terbium,0.8617543447788454
Magnesium,Niobium,0.8617527594991732
Fiberglass,Magnesium,0.8617487279185607
Dysprosium,Magnesium,0.861738743724305
Magnesium,Neodymium,0.8616683147660774
Silicon,Terbium,0.8616612410391015
Niobium,Silicon,0.8616596662606323
Fiberglass,Silicon,0.8616556609362397
Dysprosium,Silicon,0.8616434794547121
Terbium,Tin,0.8616246669814229
Niobium,Tin,0.8616230963248926
Fiberglass,Tin,0.8616191013066078
Dysprosium,Tin,0.861606057356328
Neodymium,Silicon,0.8615756809587358
Neodymium,Tin,0.8615392913596983
Chromium,Glass,0.8611867875232501
Magnesium,Yttrium,0.8610457260685008
Boron,Silver,0.8610221027551972
Silicon,Yttrium,0.8609549295057873
Tin,Yttrium,0.8609192610748052
Magnesium,Praseodymium,0.8608558717221529
Praseodymium,Silicon,0.8607581998325071
Praseodymium,Tin,0.8607198327363005
Boron,Magnesium,0.8587718318671217
Boron,Silicon,0.8586715938580065
Boron,Tin,0.8586322195915035
Glass,Lead,0.8583674837538987
Dysprosium,Glass,0.8576747740916152
Aluminum,Manganese,0.8574763733877738
Glass,Terbium,0.857469801954728
Glass,Niobium,0.8574671711445763
Fiberglass,Glass,0.8574605265035302
Glass,Zinc,0.8573962476943798
Glass,Neodymium,0.8573372253491024
Indium,Molybdenum,0.8572655587943772
Gadium,Molybdenum,0.857265558794377
Molybdenum,Tellurium,0.857265558794377
Gallium,Molybdenum,0.8572655587943768
Molybdenum,Selenium,0.8572655587943766
Cadmium,Molybdenum,0.8572655587943765
Glass,Praseodymium,0.85705153989236
Glass,Yttrium,0.8565372353125695
Boron,Glass,0.8552625070735927
Nickel,Silver,0.8497603274600346
Gallium,Steel,0.8479922017263487
Steel,Tellurium,0.8479922017263485
Indium,Steel,0.8479922017263484
Gadium,Steel,0.8479922017263484
Cadmium,Steel,0.8479922017263483
Selenium,Steel,0.8479922017263481
Magnesium,Nickel,0.8473152527051443
Nickel,Silicon,0.8472156731825105
Nickel,Tin,0.8471765577730302
Glass,Nickel,0.8434711199619364
Manganese,Silver,0.8400370349757114
Magnesium,Manganese,0.8374808033422598
Manganese,Silicon,0.8373807121375686
Manganese,Tin,0.8373413962205852
Glass,Manganese,0.8337262722286236
Chromium,Indium,0.8200644293065752
Chromium,Gadium,0.8200644293065749
Chromium,Gallium,0.8200644293065749
Chromium,Selenium,0.8200644293065749
Chromium,Tellurium,0.8200644293065747
Cadmium,Chromium,0.8200644293065744
Indium,Lead,0.8164808422869505
Lead,Selenium,0.8164808422869502
Cadmium,Lead,0.8164808422869502
Gadium,Lead,0.8164808422869502
Lead,Tellurium,0.8164808422869501
Gallium,Lead,0.8164808422869501
Cadmium,Zinc,0.8164393043936744
Indium,Zinc,0.8164393043936744
Gadium,Zinc,0.8164393043936743
Gallium,Zinc,0.8164393043936743
Selenium,Zinc,0.8164393043936742
Tellurium,Zinc,0.8164393043936741
Aluminum,Cement,0.8157437156217873
Gadium,Yttrium,0.8154586128745699
Cadmium,Yttrium,0.8154586128745699
Indium,Yttrium,0.8154586128745698
Selenium,Yttrium,0.8154586128745698
Tellurium,Yttrium,0.8154586128745697
Gallium,Yttrium,0.8154586128745696
Indium,Neodymium,0.8153310933658819
Gadium,Neodymium,0.8153310933658816
Cadmium,Neodymium,0.8153310933658816
Neodymium,Tellurium,0.8153310933658814
Gallium,Neodymium,0.8153310933658813
Neodymium,Selenium,0.8153310933658812
Fiberglass,Gadium,0.8152353311986543
Fiberglass,Indium,0.8152353311986542
Fiberglass,Selenium,0.815235331198654
Cadmium,Fiberglass,0.8152353311986539
Fiberglass,Tellurium,0.8152353311986538
Fiberglass,Gallium,0.8152353311986538
Cadmium,Niobium,0.8152286928319668
Indium,Niobium,0.8152286928319668
Gallium,Niobium,0.8152286928319666
Niobium,Tellurium,0.8152286928319665
Gadium,Niobium,0.8152286928319665
Niobium,Selenium,0.8152286928319663
Gadium,Terbium,0.815226010933487
Gallium,Terbium,0.8152260109334869
Indium,Terbium,0.8152260109334868
Tellurium,Terbium,0.8152260109334867
Cadmium,Terbium,0.8152260109334867
Selenium,Terbium,0.8152260109334863
Dysprosium,Gallium,0.8143359813006079
Dysprosium,Gadium,0.8143359813006079
Dysprosium,Indium,0.8143359813006079
Cadmium,Dysprosium,0.8143359813006079
Dysprosium,Selenium,0.8143359813006078
Dysprosium,Tellurium,0.8143359813006078
Praseodymium,Tellurium,0.8124875541685904
Indium,Praseodymium,0.8124875541685903
Praseodymium,Selenium,0.8124875541685903
Gadium,Praseodymium,0.8124875541685903
Gallium,Praseodymium,0.8124875541685902
Cadmium,Praseodymium,0.8124875541685901
Boron,Indium,0.8093861194712206
Boron,Selenium,0.8093861194712203
Boron,Tellurium,0.8093861194712203
Boron,Gadium,0.8093861194712202
Boron,Gallium,0.80938611947122
Boron,Cadmium,0.8093861194712199
Boron,Vanadium,0.8081472934400246
Steel,Vanadium,0.8060443058247742
