material,Aluminum,Boron,Cadmium,Cement,Chromium,Copper,Dysprosium,Fiberglass,Gadium,Gallium,Germanium,Glass,Indium,Lead,Magnesium,Manganese,Molybdenum,Neodymium,Nickel,Niobium,Praseodymium,Selenium,Silicon,Silver,Steel,Tellurium,Terbium,Tin,Vanadium,Yttrium,Zinc
Aluminum,1.0,0.8776099587886289,0.9876970834736399,0.8157437156217873,0.8831635102062043,0.9286585066445496,0.8800193463383547,0.8797722638069198,0.9876970834736398,0.9876970834736397,,0.9987368722049259,0.9876970834736402,0.8805904189937904,0.9988869317319585,0.8574763733877738,0.9128108807718291,0.8796404905208156,0.8665347541967723,0.8797794015283632,0.879410932326879,0.98769708347364,0.9988846009723845,0.9990571782812386,0.9087282962745699,0.9876970834736399,0.8797822288876059,0.9988836520279233,0.670834163523258,0.878797735821251,0.8795909080470792
Boron,0.8776099587886289,1.0,0.8093861194712199,0.9668098039890825,0.9937604257528713,0.9905258397891641,0.9975852803343122,0.9951713761994724,0.8093861194712202,0.80938611947122,,0.8552625070735927,0.8093861194712206,0.9945827337887694,0.8587718318671217,0.9940273763662038,0.9914442731480599,0.9946101768028154,0.9956815810661489,0.9952045198244951,0.9993272144755854,0.8093861194712203,0.8586715938580065,0.8610221027551972,0.9922852059671614,0.8093861194712203,0.9952177475283479,0.8586322195915035,0.8081472934400246,0.9919383641572832,0.9919384065409529
Cadmium,0.9876970834736399,0.8093861194712199,1.0,0.7464327114162993,0.8200644293065744,0.8751909506018648,0.8143359813006079,0.8152353311986539,1.0000000000000002,0.9999999999999997,,0.991999304387561,1.0,0.8164808422869502,0.9897169602506516,0.7883729162196815,0.8572655587943765,0.8153310933658816,0.7983136164330568,0.8152286928319668,0.8124875541685901,0.9999999999999999,0.9897674424228585,0.9893502193211269,0.8479922017263483,0.9999999999999997,0.8152260109334867,0.9897872236803683,0.595552156994631,0.8154586128745699,0.8164393043936744
Cement,0.8157437156217873,0.9668098039890825,0.7464327114162993,1.0,0.9593417277533974,0.9565876787431566,0.9638856765180635,0.9613082638268208,0.7464327114162996,0.7464327114162999,,0.7887273759835739,0.7464327114162997,0.9605351079849792,0.7902058587513037,0.9738365899813312,0.9529805376059346,0.960718727615761,0.9709271085965412,0.961343164902913,0.9658480212251337,0.7464327114162993,0.7901177482047297,0.7934114077789421,0.9703932655841376,0.7464327114162994,0.96135709678587,0.7900831364937457,0.7863243529437872,0.9579400476365948,0.9578368927108871
Chromium,0.8831635102062043,0.9937604257528713,0.8200644293065744,0.9593417277533974,1.0,0.9913033206768355,0.9990868817623677,0.9998807726347081,0.8200644293065749,0.8200644293065749,,0.8611867875232501,0.8200644293065752,0.9999543193807214,0.8654935379460398,0.9944081156484386,0.9976391282086888,0.9999385282538217,0.996523788151293,0.9998762618999324,0.9971717901507694,0.8200644293065749,0.8654032444163029,0.8672456944527392,0.9859482829121127,0.8200644293065747,0.9998744252751146,0.8653677732817365,0.7375845301999506,0.9998460143194171,0.9998584420408125
Copper,0.9286585066445496,0.9905258397891641,0.8751909506018648,0.9565876787431566,0.9913033206768355,1.0,0.9918853499150398,0.9910445224225983,0.8751909506018651,0.875190950601865,,0.9108711507916264,0.8751909506018656,0.9910088277978512,0.9135425785154666,0.9867317683325797,0.9967669085379172,0.9907874685391431,0.9890306920768682,0.9910591696678288,0.9918404174690985,0.8751909506018649,0.9134709863285803,0.9153750937960948,0.9954119740597874,0.8751909506018651,0.9910649977564603,0.9134428541194926,0.7686779174331305,0.9893852331371045,0.9895842351349462
Dysprosium,0.8800193463383547,0.9975852803343122,0.8143359813006079,0.9638856765180635,0.9990868817623677,0.9918853499150398,1.0,0.9995852302615476,0.8143359813006079,0.8143359813006079,,0.8576747740916152,0.8143359813006079,0.9993991494307138,0.861738743724305,0.9959314587088224,0.996394569145794,0.9994096293718095,0.9978041333336007,0.9995949143806478,0.9994613383789483,0.8143359813006078,0.8616434794547121,0.863696831039049,0.989401907627313,0.8143359813006078,0.999598756624357,0.861606057356328,0.7652898557597027,0.9983441828083484,0.9983434134962426
Fiberglass,0.8797722638069198,0.9951713761994724,0.8152353311986539,0.9613082638268208,0.9998807726347081,0.9910445224225983,0.9995852302615476,1.0,0.8152353311986543,0.8152353311986538,,0.8574605265035302,0.8152353311986542,0.9999811070557576,0.8617487279185607,0.9953107116218609,0.9970362956271982,0.9999845383246718,0.9972713242157434,0.9999999427919457,0.998101669753432,0.815235331198654,0.8616556609362397,0.8635828869543358,0.9868052927886433,0.8152353311986538,0.9999998878618569,0.8616191013066078,0.7464350958799666,0.9995866890711396,0.9995855842742686
Gadium,0.9876970834736398,0.8093861194712202,1.0000000000000002,0.7464327114162996,0.8200644293065749,0.8751909506018651,0.8143359813006079,0.8152353311986543,1.0,1.0000000000000002,,0.9919993043875611,1.0000000000000007,0.8164808422869502,0.9897169602506511,0.7883729162196814,0.857265558794377,0.8153310933658816,0.7983136164330569,0.8152286928319665,0.8124875541685903,0.9999999999999998,0.9897674424228585,0.9893502193211269,0.8479922017263484,1.0000000000000002,0.815226010933487,0.9897872236803685,0.5955521569946314,0.8154586128745699,0.8164393043936743
Gallium,0.9876970834736397,0.80938611947122,0.9999999999999997,0.7464327114162999,0.8200644293065749,0.875190950601865,0.8143359813006079,0.8152353311986538,1.0000000000000002,1.0,,0.9919993043875613,1.0,0.8164808422869501,0.9897169602506511,0.7883729162196811,0.8572655587943768,0.8153310933658813,0.7983136164330566,0.8152286928319666,0.8124875541685902,0.9999999999999998,0.9897674424228584,0.9893502193211267,0.8479922017263487,0.9999999999999997,0.8152260109334869,0.9897872236803684,0.5955521569946314,0.8154586128745696,0.8164393043936743
Germanium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass,0.9987368722049259,0.8552625070735927,0.991999304387561,0.7887273759835739,0.8611867875232501,0.9108711507916264,0.8576747740916152,0.8574605265035302,0.9919993043875611,0.9919993043875613,,1.0,0.9919993043875615,0.8583674837538987,0.9997031924080214,0.8337262722286236,0.8935466932306687,0.8573372253491024,0.8434711199619364,0.8574671711445763,0.85705153989236,0.9919993043875612,0.9997094938341397,0.9997214793926583,0.8884920316442546,0.9919993043875607,0.857469801954728,0.999711933127648,0.6532073367649549,0.8565372353125695,0.8573962476943798
Indium,0.9876970834736402,0.8093861194712206,1.0,0.7464327114162997,0.8200644293065752,0.8751909506018656,0.8143359813006079,0.8152353311986542,1.0000000000000007,1.0,,0.9919993043875615,1.0,0.8164808422869505,0.9897169602506513,0.7883729162196814,0.8572655587943772,0.8153310933658819,0.7983136164330565,0.8152286928319668,0.8124875541685903,0.9999999999999998,0.9897674424228586,0.989350219321127,0.8479922017263484,1.0,0.8152260109334868,0.9897872236803681,0.5955521569946314,0.8154586128745698,0.8164393043936744
Lead,0.8805904189937904,0.9945827337887694,0.8164808422869502,0.9605351079849792,0.9999543193807214,0.9910088277978512,0.9993991494307138,0.9999811070557576,0.8164808422869502,0.8164808422869501,,0.8583674837538987,0.8164808422869505,1.0,0.8626867660053836,0.9950014492679062,0.9972152072542244,0.9999979301131324,0.9970119675091371,0.9999790860578479,0.9977252547998833,0.8164808422869502,0.8625944823554657,0.8644891215922167,0.9863378165027896,0.8164808422869501,0.9999782454854899,0.8625582301638562,0.7425575686801881,0.9997347054336009,0.9997368969054617
Magnesium,0.9988869317319585,0.8587718318671217,0.9897169602506516,0.7902058587513037,0.8654935379460398,0.9135425785154666,0.861738743724305,0.8617487279185607,0.9897169602506511,0.9897169602506511,,0.9997031924080214,0.9897169602506513,0.8626867660053836,1.0,0.8374808033422598,0.8970995466184969,0.8616683147660774,0.8473152527051443,0.8617527594991732,0.8608558717221529,0.9897169602506508,0.9999999375696541,0.9999620848934949,0.8910086599819584,0.9897169602506515,0.8617543447788454,0.9999998789413663,0.6512679312151807,0.8610457260685008,0.8618872684079255
Manganese,0.8574763733877738,0.9940273763662038,0.7883729162196815,0.9738365899813312,0.9944081156484386,0.9867317683325797,0.9959314587088224,0.9953107116218609,0.7883729162196814,0.7883729162196811,,0.8337262722286236,0.7883729162196814,0.9950014492679062,0.8374808033422598,1.0,0.9891229414308204,0.995095746238927,0.9992711963243873,0.9953227944605186,0.9956316373078057,0.7883729162196813,0.8373807121375686,0.8400370349757114,0.9875605612237617,0.7883729162196811,0.9953275964840647,0.8373413962205852,0.7668177969155813,0.993867585817668,0.9938014314241479
Molybdenum,0.9128108807718291,0.9914442731480599,0.8572655587943765,0.9529805376059346,0.9976391282086888,0.9967669085379172,0.996394569145794,0.9970362956271982,0.857265558794377,0.8572655587943768,,0.8935466932306687,0.8572655587943772,0.9972152072542244,0.8970995466184969,0.9891229414308204,1.0,0.9970649410541027,0.9921968617321544,0.9970335584388246,0.9946556023102031,0.8572655587943766,0.8970238758319427,0.8986589419584582,0.9890755376374792,0.857265558794377,0.9970324314383494,0.8969941432707653,0.7389501436555702,0.9968519940744128,0.9969806068061444
Neodymium,0.8796404905208156,0.9946101768028154,0.8153310933658816,0.960718727615761,0.9999385282538217,0.9907874685391431,0.9994096293718095,0.9999845383246718,0.8153310933658816,0.8153310933658813,,0.8573372253491024,0.8153310933658819,0.9999979301131324,0.8616683147660774,0.995095746238927,0.9970649410541027,1.0,0.9970731517618654,0.9999826001331902,0.9977437565981865,0.8153310933658812,0.8615756809587358,0.8634783687761375,0.9862096124947842,0.8153310933658814,0.9999817926886457,0.8615392913596983,0.7427230378565561,0.9997310975954595,0.999729928124159
Nickel,0.8665347541967723,0.9956815810661489,0.7983136164330568,0.9709271085965412,0.996523788151293,0.9890306920768682,0.9978041333336007,0.9972713242157434,0.7983136164330569,0.7983136164330566,,0.8434711199619364,0.7983136164330565,0.9970119675091371,0.8473152527051443,0.9992711963243873,0.9921968617321544,0.9970731517618654,1.0,0.9972823836216437,0.9974022065809702,0.7983136164330564,0.8472156731825105,0.8497603274600346,0.9877504008598669,0.7983136164330565,0.9972867761431116,0.8471765577730302,0.7662680576494785,0.9959143595163694,0.9958724438865343
Niobium,0.8797794015283632,0.9952045198244951,0.8152286928319668,0.961343164902913,0.9998762618999324,0.9910591696678288,0.9995949143806478,0.9999999427919457,0.8152286928319665,0.8152286928319666,,0.8574671711445763,0.8152286928319668,0.9999790860578479,0.8617527594991732,0.9953227944605186,0.9970335584388246,0.9999826001331902,0.9972823836216437,1.0,0.9981224450035613,0.8152286928319663,0.8616596662606323,0.8635883829602607,0.9868405421570924,0.8152286928319665,0.999999990843752,0.8616230963248926,0.7466601474148957,0.9995769077256849,0.9995758068639187
Praseodymium,0.879410932326879,0.9993272144755854,0.8124875541685901,0.9658480212251337,0.9971717901507694,0.9918404174690985,0.9994613383789483,0.998101669753432,0.8124875541685903,0.8124875541685902,,0.85705153989236,0.8124875541685903,0.9977252547998833,0.8608558717221529,0.9956316373078057,0.9946556023102031,0.9977437565981865,0.9974022065809702,0.9981224450035613,1.0,0.8124875541685903,0.8607581998325071,0.8629532037389023,0.9913603294315115,0.8124875541685904,0.9981307244641119,0.8607198327363005,0.7860022220796198,0.9959186136357713,0.9959182274100806
Selenium,0.98769708347364,0.8093861194712203,0.9999999999999999,0.7464327114162993,0.8200644293065749,0.8751909506018649,0.8143359813006078,0.815235331198654,0.9999999999999998,0.9999999999999998,,0.9919993043875612,0.9999999999999998,0.8164808422869502,0.9897169602506508,0.7883729162196813,0.8572655587943766,0.8153310933658812,0.7983136164330564,0.8152286928319663,0.8124875541685903,1.0,0.9897674424228583,0.989350219321127,0.8479922017263481,0.9999999999999998,0.8152260109334863,0.989787223680368,0.5955521569946312,0.8154586128745698,0.8164393043936742
Silicon,0.9988846009723845,0.8586715938580065,0.9897674424228585,0.7901177482047297,0.8654032444163029,0.9134709863285803,0.8616434794547121,0.8616556609362397,0.9897674424228585,0.9897674424228584,,0.9997094938341397,0.9897674424228586,0.8625944823554657,0.9999999375696541,0.8373807121375686,0.8970238758319427,0.8615756809587358,0.8472156731825105,0.8616596662606323,0.8607581998325071,0.9897674424228583,1.0,0.999961209191309,0.8909249730723873,0.9897674424228585,0.8616612410391015,0.9999999903814588,0.6511467976295194,0.8609549295057873,0.8617968369155921
Silver,0.9990571782812386,0.8610221027551972,0.9893502193211269,0.7934114077789421,0.8672456944527392,0.9153750937960948,0.863696831039049,0.8635828869543358,0.9893502193211269,0.9893502193211267,,0.9997214793926583,0.989350219321127,0.8644891215922167,0.9999620848934949,0.8400370349757114,0.8986589419584582,0.8634783687761375,0.8497603274600346,0.8635883829602607,0.8629532037389023,0.989350219321127,0.999961209191309,1.0,0.8931719279306118,0.9893502193211265,0.8635905540459398,0.9999608313425931,0.6555182261841469,0.862754657416758,0.8635910383731087
Steel,0.9087282962745699,0.9922852059671614,0.8479922017263483,0.9703932655841376,0.9859482829121127,0.9954119740597874,0.989401907627313,0.9868052927886433,0.8479922017263484,0.8479922017263487,,0.8884920316442546,0.8479922017263484,0.9863378165027896,0.8910086599819584,0.9875605612237617,0.9890755376374792,0.9862096124947842,0.9877504008598669,0.9868405421570924,0.9913603294315115,0.8479922017263481,0.8909249730723873,0.8931719279306118,1.0,0.8479922017263485,0.9868546125624994,0.8908920942673171,0.8060443058247742,0.9833968132556388,0.983530423980685
Tellurium,0.9876970834736399,0.8093861194712203,0.9999999999999997,0.7464327114162994,0.8200644293065747,0.8751909506018651,0.8143359813006078,0.8152353311986538,1.0000000000000002,0.9999999999999997,,0.9919993043875607,1.0,0.8164808422869501,0.9897169602506515,0.7883729162196811,0.857265558794377,0.8153310933658814,0.7983136164330565,0.8152286928319665,0.8124875541685904,0.9999999999999998,0.9897674424228585,0.9893502193211265,0.8479922017263485,1.0,0.8152260109334867,0.9897872236803683,0.595552156994631,0.8154586128745697,0.8164393043936741
Terbium,0.8797822288876059,0.9952177475283479,0.8152260109334867,0.96135709678587,0.9998744252751146,0.9910649977564603,0.999598756624357,0.9999998878618569,0.815226010933487,0.8152260109334869,,0.857469801954728,0.8152260109334868,0.9999782454854899,0.8617543447788454,0.9953275964840647,0.9970324314383494,0.9999817926886457,0.9972867761431116,0.999999990843752,0.9981307244641119,0.8152260109334863,0.8616612410391015,0.8635905540459398,0.9868546125624994,0.8152260109334867,1.0,0.8616246669814229,0.7467501586572679,0.9995729625253453,0.9995718632379107
Tin,0.9988836520279233,0.8586322195915035,0.9897872236803683,0.7900831364937457,0.8653677732817365,0.9134428541194926,0.861606057356328,0.8616191013066078,0.9897872236803685,0.9897872236803684,,0.999711933127648,0.9897872236803681,0.8625582301638562,0.9999998789413663,0.8373413962205852,0.8969941432707653,0.8615392913596983,0.8471765577730302,0.8616230963248926,0.8607198327363005,0.989787223680368,0.9999999903814588,0.9999608313425931,0.8908920942673171,0.9897872236803683,0.8616246669814229,1.0,0.6510992286081656,0.8609192610748052,0.861761311751641
Vanadium,0.670834163523258,0.8081472934400246,0.595552156994631,0.7863243529437872,0.7375845301999506,0.7686779174331305,0.7652898557597027,0.7464350958799666,0.5955521569946314,0.5955521569946314,,0.6532073367649549,0.5955521569946314,0.7425575686801881,0.6512679312151807,0.7668177969155813,0.7389501436555702,0.7427230378565561,0.7662680576494785,0.7466601474148957,0.7860022220796198,0.5955521569946312,0.6511467976295194,0.6555182261841469,0.8060443058247742,0.595552156994631,0.7467501586572679,0.6510992286081656,1.0,0.7269959522483668,0.7270028691138811
Yttrium,0.878797735821251,0.9919383641572832,0.8154586128745699,0.9579400476365948,0.9998460143194171,0.9893852331371045,0.9983441828083484,0.9995866890711396,0.8154586128745699,0.8154586128745696,,0.8565372353125695,0.8154586128745698,0.9997347054336009,0.8610457260685008,0.993867585817668,0.9968519940744128,0.9997310975954595,0.9959143595163694,0.9995769077256849,0.9959186136357713,0.8154586128745698,0.8609549295057873,0.862754657416758,0.9833968132556388,0.8154586128745697,0.9995729625253453,0.8609192610748052,0.7269959522483668,1.0,0.9999985612227926
Zinc,0.8795909080470792,0.9919384065409529,0.8164393043936744,0.9578368927108871,0.9998584420408125,0.9895842351349462,0.9983434134962426,0.9995855842742686,0.8164393043936743,0.8164393043936743,,0.8573962476943798,0.8164393043936744,0.9997368969054617,0.8618872684079255,0.9938014314241479,0.9969806068061444,0.999729928124159,0.9958724438865343,0.9995758068639187,0.9959182274100806,0.8164393043936742,0.8617968369155921,0.8635910383731087,0.983530423980685,0.8164393043936741,0.9995718632379107,0.861761311751641,0.7270028691138811,0.9999985612227926,1.0
